year,month,tt_dep_aa,m_aaeg_m_m,m_aaeg_m_v,m_aaeg_f_m,m_aaeg_f_v,n_traps,date,trapped
2017,1,111,27,49,314,127,2538,2017-01-01,441
2017,3,122,22,27,363,72,2605,2017-03-01,435
2017,5,92,12,11,272,64,2496,2017-05-01,336
2017,7,18,4,6,261,51,2607,2017-07-01,312
2017,9,29,10,2,242,31,2766,2017-09-01,273
2017,11,130,18,43,237,92,2663,2017-11-01,329
2018,1,79,9,8,283,97,2542,2018-01-01,380
2018,3,105,3,7,172,36,2579,2018-03-01,208
2018,5,53,6,1,346,41,2542,2018-05-01,387
2018,7,81,3,0,209,3,2472,2018-07-01,212
2018,9,24,1,3,121,9,2490,2018-09-01,130
2018,11,122,9,10,129,48,2464,2018-11-01,177
2019,1,130,3,13,449,67,2412,2019-01-01,516
2019,3,162,16,35,479,109,2465,2019-03-01,588
2019,5,128,3,13,401,60,2335,2019-05-01,461
2019,7,40,2,2,451,22,2266,2019-07-01,473
2019,9,17,5,0,292,18,2239,2019-09-01,310
2019,11,95,2,14,253,27,2246,2019-11-01,280
2020,1,88,12,0,964,61,2254,2020-01-01,1025
2020,3,25,11,7,670,40,2305,2020-03-01,710
2020,5,17,10,2,693,27,2315,2020-05-01,720
2020,7,27,5,2,444,47,2502,2020-07-01,491
2020,9,21,3,2,846,56,2499,2020-09-01,902
2020,11,71,19,3,1054,55,2598,2020-11-01,1109
2021,1,188,5,9,992,68,2442,2021-01-01,1060
2021,3,85,11,0,1777,36,2518,2021-03-01,1813
2021,5,67,10,1,1478,73,2458,2021-05-01,1551
2021,7,23,8,0,716,28,2327,2021-07-01,744
2021,9,38,1,0,308,33,2298,2021-09-01,341
2021,11,97,17,3,740,58,2349,2021-11-01,798
2022,1,9,1,5,353,56,1004,2022-01-01,409
2022,3,207,22,13,613,44,5021,2022-03-01,657
2022,5,284,12,8,1097,68,5071,2022-05-01,1165
2022,7,0,1,0,17,0,263,2022-07-01,17
2022,9,38,4,0,392,10,4937,2022-09-01,402
2022,11,71,4,0,306,11,4893,2022-11-01,317
