year,month,tt_dep_aa,m_aaeg_m_m,m_aaeg_m_v,m_aaeg_f_m,m_aaeg_f_v,n_traps,date,trapped,mfai_obvs
2017,1,111,27,49,314,127,2538,2017-01-01,441,0.17375886524822695
2017,3,122,22,27,363,72,2605,2017-03-01,435,0.16698656429942418
2017,5,92,12,11,272,64,2496,2017-05-01,336,0.1346153846153846
2017,7,18,4,6,261,51,2607,2017-07-01,312,0.11967779056386652
2017,9,29,10,2,242,31,2766,2017-09-01,273,0.09869848156182212
2017,11,130,18,43,237,92,2663,2017-11-01,329,0.12354487420202778
2018,1,79,9,8,283,97,2542,2018-01-01,380,0.14948859166011014
2018,3,105,3,7,172,36,2579,2018-03-01,208,0.08065141527723924
2018,5,53,6,1,346,41,2542,2018-05-01,387,0.15224232887490166
2018,7,81,3,0,209,3,2472,2018-07-01,212,0.08576051779935275
2018,9,24,1,3,121,9,2490,2018-09-01,130,0.05220883534136546
2018,11,122,9,10,129,48,2464,2018-11-01,177,0.07183441558441558
2019,1,130,3,13,449,67,2412,2019-01-01,516,0.21393034825870647
2019,3,162,16,35,479,109,2465,2019-03-01,588,0.2385395537525355
2019,5,128,3,13,401,60,2335,2019-05-01,461,0.19743040685224839
2019,7,40,2,2,451,22,2266,2019-07-01,473,0.2087378640776699
2019,9,17,5,0,292,18,2239,2019-09-01,310,0.13845466726217062
2019,11,95,2,14,253,27,2246,2019-11-01,280,0.1246660730186999
2020,1,88,12,0,964,61,2254,2020-01-01,1025,0.45474711623779945
2020,3,25,11,7,670,40,2305,2020-03-01,710,0.3080260303687636
2020,5,17,10,2,693,27,2315,2020-05-01,720,0.31101511879049676
2020,7,27,5,2,444,47,2502,2020-07-01,491,0.19624300559552357
2020,9,21,3,2,846,56,2499,2020-09-01,902,0.36094437775110044
2020,11,71,19,3,1054,55,2598,2020-11-01,1109,0.4268668206312548
2021,1,188,5,9,992,68,2442,2021-01-01,1060,0.43407043407043405
2021,3,85,11,0,1777,36,2518,2021-03-01,1813,0.7200158856235107
2021,5,67,10,1,1478,73,2458,2021-05-01,1551,0.6310008136696501
2021,7,23,8,0,716,28,2327,2021-07-01,744,0.31972496776966053
2021,9,38,1,0,308,33,2298,2021-09-01,341,0.1483899042645779
2021,11,97,17,3,740,58,2349,2021-11-01,798,0.3397190293742018
2022,1,9,1,5,353,56,1004,2022-01-01,409,0.4073705179282869
2022,3,207,22,13,613,44,5021,2022-03-01,657,0.1308504282015535
2022,5,284,12,8,1097,68,5071,2022-05-01,1165,0.22973772431473083
2022,7,0,1,0,17,0,263,2022-07-01,17,0.06463878326996197
2022,9,38,4,0,392,10,4937,2022-09-01,402,0.08142596718655054
2022,11,71,4,0,306,11,4893,2022-11-01,317,0.06478642959329654
