date,t_vals,temp
2010-01-01,3653.0,26.7
2010-01-02,3654.0,27.2
2010-01-03,3655.0,28.4
2010-01-04,3656.0,28.5
2010-01-05,3657.0,29.5
2010-01-06,3658.0,27.6
2010-01-07,3659.0,26.9
2010-01-08,3660.0,28.0
2010-01-09,3661.0,27.6
2010-01-10,3662.0,26.1
2010-01-11,3663.0,26.8
2010-01-12,3664.0,25.1
2010-01-13,3665.0,25.0
2010-01-14,3666.0,25.2
2010-01-15,3667.0,23.7
2010-01-16,3668.0,26.5
2010-01-17,3669.0,26.6
2010-01-18,3670.0,27.0
2010-01-19,3671.0,27.2
2010-01-20,3672.0,23.2
2010-01-21,3673.0,23.7
2010-01-22,3674.0,24.4
2010-01-23,3675.0,26.1
2010-01-24,3676.0,27.0
2010-01-25,3677.0,25.1
2010-01-26,3678.0,25.4
2010-01-27,3679.0,25.9
2010-01-28,3680.0,24.2
2010-01-29,3681.0,26.6
2010-01-30,3682.0,27.9
2010-01-31,3683.0,28.0
2010-02-01,3684.0,27.9
2010-02-02,3685.0,29.4
2010-02-03,3686.0,30.6
2010-02-04,3687.0,29.2
2010-02-05,3688.0,30.6
2010-02-06,3689.0,28.5
2010-02-07,3690.0,30.0
2010-02-08,3691.0,25.6
2010-02-09,3692.0,24.1
2010-02-10,3693.0,27.3
2010-02-11,3694.0,27.5
2010-02-12,3695.0,27.4
2010-02-13,3696.0,25.5
2010-02-14,3697.0,24.6
2010-02-15,3698.0,24.4
2010-02-16,3699.0,22.8
2010-02-17,3700.0,25.4
2010-02-18,3701.0,27.5
2010-02-19,3702.0,28.5
2010-02-20,3703.0,28.8
2010-02-21,3704.0,27.9
2010-02-22,3705.0,26.5
2010-02-23,3706.0,28.0
2010-02-24,3707.0,23.5
2010-02-25,3708.0,23.5
2010-02-26,3709.0,24.8
2010-02-27,3710.0,22.3
2010-02-28,3711.0,24.5
2010-03-01,3712.0,26.1
2010-03-02,3713.0,25.7
2010-03-03,3714.0,25.9
2010-03-04,3715.0,26.4
2010-03-05,3716.0,25.8
2010-03-06,3717.0,24.4
2010-03-07,3718.0,24.0
2010-03-08,3719.0,24.1
2010-03-09,3720.0,25.7
2010-03-10,3721.0,26.9
2010-03-11,3722.0,25.5
2010-03-12,3723.0,26.2
2010-03-13,3724.0,25.4
2010-03-14,3725.0,25.4
2010-03-15,3726.0,24.9
2010-03-16,3727.0,25.8
2010-03-17,3728.0,26.8
2010-03-18,3729.0,27.1
2010-03-19,3730.0,27.8
2010-03-20,3731.0,25.0
2010-03-21,3732.0,24.9
2010-03-22,3733.0,23.3
2010-03-23,3734.0,22.8
2010-03-24,3735.0,22.4
2010-03-25,3736.0,24.4
2010-03-26,3737.0,25.1
2010-03-27,3738.0,24.9
2010-03-28,3739.0,24.9
2010-03-29,3740.0,25.4
2010-03-30,3741.0,25.2
2010-03-31,3742.0,25.7
2010-04-01,3743.0,26.7
2010-04-02,3744.0,26.0
2010-04-03,3745.0,25.5
2010-04-04,3746.0,23.4
2010-04-05,3747.0,19.0
2010-04-06,3748.0,19.1
2010-04-07,3749.0,18.9
2010-04-08,3750.0,19.5
2010-04-09,3751.0,19.6
2010-04-10,3752.0,20.2
2010-04-11,3753.0,20.9
2010-04-12,3754.0,21.6
2010-04-13,3755.0,23.2
2010-04-14,3756.0,23.4
2010-04-15,3757.0,21.5
2010-04-16,3758.0,22.7
2010-04-17,3759.0,25.3
2010-04-18,3760.0,26.5
2010-04-19,3761.0,25.5
2010-04-20,3762.0,26.4
2010-04-21,3763.0,24.6
2010-04-22,3764.0,23.5
2010-04-23,3765.0,18.7
2010-04-24,3766.0,17.8
2010-04-25,3767.0,22.3
2010-04-26,3768.0,20.2
2010-04-27,3769.0,18.1
2010-04-28,3770.0,19.5
2010-04-29,3771.0,20.0
2010-04-30,3772.0,19.4
2010-05-01,3773.0,19.6
2010-05-02,3774.0,21.7
2010-05-03,3775.0,22.1
2010-05-04,3776.0,18.6
2010-05-05,3777.0,18.8
2010-05-06,3778.0,22.0
2010-05-07,3779.0,20.2
2010-05-08,3780.0,16.3
2010-05-09,3781.0,13.6
2010-05-10,3782.0,14.2
2010-05-11,3783.0,13.0
2010-05-12,3784.0,13.0
2010-05-13,3785.0,15.9
2010-05-14,3786.0,19.2
2010-05-15,3787.0,20.5
2010-05-16,3788.0,18.0
2010-05-17,3789.0,19.1
2010-05-18,3790.0,12.8
2010-05-19,3791.0,13.7
2010-05-20,3792.0,15.2
2010-05-21,3793.0,16.7
2010-05-22,3794.0,19.9
2010-05-23,3795.0,21.4
2010-05-24,3796.0,20.1
2010-05-25,3797.0,17.1
