dt_sin_pri,notified,probable,lab_confirmed,acum_notified,acum_probable,acum_lab_confirmed
2010-01-01,1,1,1,1,1,1
2010-01-02,0,0,0,1,1,1
2010-01-03,1,0,0,2,1,1
2010-01-04,2,2,0,4,3,1
2010-01-05,1,0,0,5,3,1
2010-01-06,4,1,0,9,4,1
2010-01-07,2,2,1,11,6,2
2010-01-08,3,2,0,14,8,2
2010-01-09,0,0,0,14,8,2
2010-01-10,2,1,0,16,9,2
2010-01-11,0,0,0,16,9,2
2010-01-12,6,3,3,22,12,5
2010-01-13,4,2,2,26,14,7
2010-01-14,6,3,2,32,17,9
2010-01-15,1,0,0,33,17,9
2010-01-16,4,4,3,37,21,12
2010-01-17,6,2,2,43,23,14
2010-01-18,7,1,0,50,24,14
2010-01-19,3,2,2,53,26,16
2010-01-20,5,2,1,58,28,17
2010-01-21,7,6,6,65,34,23
2010-01-22,2,2,2,67,36,25
2010-01-23,2,2,1,69,38,26
2010-01-24,2,1,0,71,39,26
2010-01-25,2,0,0,73,39,26
2010-01-26,5,4,3,78,43,29
2010-01-27,4,4,3,82,47,32
2010-01-28,6,6,2,88,53,34
2010-01-29,1,0,0,89,53,34
2010-01-30,6,4,4,95,57,38
2010-01-31,6,6,3,101,63,41
2010-02-01,9,9,5,110,72,46
2010-02-02,5,5,3,115,77,49
2010-02-03,11,8,3,126,85,52
2010-02-04,4,1,1,130,86,53
2010-02-05,7,7,5,137,93,58
2010-02-06,6,5,2,143,98,60
2010-02-07,6,5,3,149,103,63
2010-02-08,11,7,4,160,110,67
2010-02-09,10,10,7,170,120,74
2010-02-10,15,15,13,185,135,87
2010-02-11,17,16,11,202,151,98
2010-02-12,15,12,9,217,163,107
2010-02-13,12,11,7,229,174,114
2010-02-14,13,13,10,242,187,124
2010-02-15,17,12,10,259,199,134
2010-02-16,10,9,6,269,208,140
2010-02-17,13,10,7,282,218,147
2010-02-18,14,11,5,296,229,152
2010-02-19,19,12,9,315,241,161
2010-02-20,12,8,6,327,249,167
2010-02-21,23,20,14,350,269,181
2010-02-22,15,11,8,365,280,189
2010-02-23,26,20,16,391,300,205
2010-02-24,24,19,16,415,319,221
2010-02-25,21,15,10,436,334,231
2010-02-26,26,20,14,462,354,245
2010-02-27,31,22,12,493,376,257
2010-02-28,40,35,19,533,411,276
2010-03-01,41,30,17,574,441,293
2010-03-02,41,38,21,615,479,314
2010-03-03,51,42,22,666,521,336
2010-03-04,50,36,25,716,557,361
2010-03-05,54,43,32,770,600,393
