Data,daily_precipitation-mm,temp_max-celsius,temp_min-celsius,temp_mean-celsius,mean_relative_humidity-%,mean_wind_speed-m_per_s
2010-01-01,0.0,31.1,23.9,26.7,72.1,1.7
2010-01-02,2.2,32.9,23.8,27.2,75.3,1.3
2010-01-03,0.0,32.3,25.6,28.4,73.2,1.7
2010-01-04,1.6,33.9,24.6,28.5,75.5,2.5
2010-01-05,0.2,35.2,25.5,29.5,69.1,2.6
2010-01-06,0.0,35.0,23.1,27.6,76.0,2.5
2010-01-07,0.0,34.2,21.5,26.9,73.5,0.9
2010-01-08,0.0,32.2,24.5,28.0,72.7,1.6
2010-01-09,0.0,31.9,24.9,27.6,74.2,1.9
2010-01-10,0.2,30.5,24.5,26.1,80.8,2.3
2010-01-11,0.0,31.1,23.6,26.8,78.5,2.2
2010-01-12,36.2,30.2,21.9,25.1,85.5,3.1
2010-01-13,5.4,30.7,22.0,25.0,79.7,1.4
2010-01-14,0.0,31.4,20.9,25.2,70.2,0.9
2010-01-15,9.0,32.2,18.5,23.7,79.1,1.0
2010-01-16,0.0,30.6,22.9,26.5,72.8,3.1
2010-01-17,100.2,33.2,21.9,26.6,79.5,3.0
2010-01-18,0.0,31.6,22.5,27.0,78.6,2.5
2010-01-19,12.8,32.9,22.5,27.2,76.1,4.0
2010-01-20,35.4,29.1,20.3,23.2,84.8,0.8
2010-01-21,0.0,30.2,18.6,23.7,69.9,0.9
2010-01-22,0.0,31.4,18.5,24.4,68.3,0.8
2010-01-23,0.0,33.2,20.8,26.1,67.3,0.9
2010-01-24,0.0,31.8,23.5,27.0,70.2,1.6
2010-01-25,0.0,30.2,20.6,25.1,76.9,1.2
2010-01-26,0.0,32.8,19.8,25.4,73.2,1.1
2010-01-27,60.6,34.2,20.8,25.9,76.2,1.6
2010-01-28,0.0,30.4,19.8,24.2,79.5,1.0
2010-01-29,0.0,31.3,22.1,26.6,78.6,1.4
2010-01-30,0.0,32.7,24.3,27.9,72.8,1.9
2010-01-31,0.0,32.9,24.5,28.0,71.1,1.7
2010-02-01,0.0,32.5,25.0,27.9,73.3,2.0
2010-02-02,0.0,35.2,25.7,29.4,67.8,2.6
2010-02-03,0.0,35.7,26.1,30.6,60.6,2.3
2010-02-04,7.6,36.4,25.3,29.2,70.7,1.7
2010-02-05,0.0,35.9,26.1,30.6,66.1,1.9
2010-02-06,1.6,35.9,25.4,28.5,72.9,1.9
2010-02-07,0.0,35.0,26.1,30.0,70.0,1.4
2010-02-08,52.4,35.7,19.6,25.6,78.1,2.3
2010-02-09,0.0,31.6,18.2,24.1,75.5,1.0
2010-02-10,0.0,32.4,23.8,27.3,74.4,1.6
2010-02-11,0.0,31.4,24.1,27.5,73.3,1.6
2010-02-12,0.0,31.6,24.9,27.4,71.0,1.8
2010-02-13,5.6,29.5,22.1,25.5,78.6,1.6
